Nom;Code département;Nom de la région;Population totale
Perpignan;66;Occitanie;123602
Haguenau;67;Grand Est;35024
Illkirch-Graffenstaden;67;Grand Est;27505
Schiltigheim;67;Grand Est;32024
Strasbourg;67;Grand Est;283515
Colmar;68;Grand Est;71445
Mulhouse;68;Grand Est;110468
Bron;69;Auvergne-Rhône-Alpes;41589
Caluire-et-Cuire;69;Auvergne-Rhône-Alpes;43546
Décines-Charpieu;69;Auvergne-Rhône-Alpes;28249
Lyon 1er Arrondissement;69;Auvergne-Rhône-Alpes;30423
Lyon 2e Arrondissement;69;Auvergne-Rhône-Alpes;30857
Lyon 3e Arrondissement;69;Auvergne-Rhône-Alpes;103506
Lyon 4e Arrondissement;69;Auvergne-Rhône-Alpes;36524
Lyon 5e Arrondissement;69;Auvergne-Rhône-Alpes;49998
Lyon 6e Arrondissement;69;Auvergne-Rhône-Alpes;52282
Lyon 7e Arrondissement;69;Auvergne-Rhône-Alpes;82651
Lyon 8e Arrondissement;69;Auvergne-Rhône-Alpes;85610
Lyon 9e Arrondissement;69;Auvergne-Rhône-Alpes;51313
Meyzieu;69;Auvergne-Rhône-Alpes;33351
Oullins;69;Auvergne-Rhône-Alpes;26838
Rillieux-la-Pape;69;Auvergne-Rhône-Alpes;30275
Saint-Priest;69;Auvergne-Rhône-Alpes;46153
Vaulx-en-Velin;69;Auvergne-Rhône-Alpes;48906
Vénissieux;69;Auvergne-Rhône-Alpes;65822
Villefranche-sur-Saône;69;Auvergne-Rhône-Alpes;37783
Villeurbanne;69;Auvergne-Rhône-Alpes;150375
Chalon-sur-Saône;71;Bourgogne-Franche-Comté;47085
Mâcon;71;Bourgogne-Franche-Comté;34448
Le Mans;72;Pays de la Loire;146804
Aix-les-Bains;73;Auvergne-Rhône-Alpes;30377
Chambéry;73;Auvergne-Rhône-Alpes;60872
Annecy;74;Auvergne-Rhône-Alpes;130257
Annemasse;74;Auvergne-Rhône-Alpes;35461
Thonon-les-Bains;74;Auvergne-Rhône-Alpes;36296
Paris;75;Île-de-France;2210875
Dieppe;76;Normandie;30588
Le Grand-Quevilly;76;Normandie;26175
Le Havre;76;Normandie;172769
Rouen;76;Normandie;112596
Saint-Étienne-du-Rouvray;76;Normandie;29180
Sotteville-lès-Rouen;76;Normandie;29766
Bussy-Saint-Georges;77;Île-de-France;27299
Chelles;77;Île-de-France;54682
Meaux;77;Île-de-France;56249
Melun;77;Île-de-France;41183
Pontault-Combault;77;Île-de-France;38587
Savigny-le-Temple;77;Île-de-France;30352
Villeparisis;77;Île-de-France;26507
Chatou;78;Île-de-France;31653
Le Chesnay;78;Île-de-France;28558
Conflans-Sainte-Honorine;78;Île-de-France;36058
Élancourt;78;Île-de-France;25829
Guyancourt;78;Île-de-France;28839
Houilles;78;Île-de-France;32064
Mantes-la-Jolie;78;Île-de-France;44231
Montigny-le-Bretonneux;78;Île-de-France;33535
Les Mureaux;78;Île-de-France;32777
Plaisir;78;Île-de-France;32128
Poissy;78;Île-de-France;37524
Rambouillet;78;Île-de-France;26781
Saint-Germain-en-Laye;78;Île-de-France;41749
Sartrouville;78;Île-de-France;53237
Trappes;78;Île-de-France;32931
Versailles;78;Île-de-France;87315
Niort;79;Nouvelle-Aquitaine;61044
Amiens;80;Hauts-de-France;136998
Albi;81;Occitanie;51151
Castres;81;Occitanie;42923
Montauban;82;Occitanie;61978
Draguignan;83;Provence-Alpes-Côte d'Azur;40928
Fréjus;83;Provence-Alpes-Côte d'Azur;54023
La Garde;83;Provence-Alpes-Côte d'Azur;25645
Hyères;83;Provence-Alpes-Côte d'Azur;56799
Saint-Raphaël;83;Provence-Alpes-Côte d'Azur;35826
La Seyne-sur-Mer;83;Provence-Alpes-Côte d'Azur;65386
Six-Fours-les-Plages;83;Provence-Alpes-Côte d'Azur;33904
Toulon;83;Provence-Alpes-Côte d'Azur;171643
Avignon;84;Provence-Alpes-Côte d'Azur;94200
Carpentras;84;Provence-Alpes-Côte d'Azur;29498
Cavaillon;84;Provence-Alpes-Côte d'Azur;26985
Orange;84;Provence-Alpes-Côte d'Azur;29856
La Roche-sur-Yon;85;Pays de la Loire;56991
Châtellerault;86;Nouvelle-Aquitaine;32887
Poitiers;86;Nouvelle-Aquitaine;90590
Limoges;87;Nouvelle-Aquitaine;135140
Épinal;88;Grand Est;33454
Auxerre;89;Bourgogne-Franche-Comté;36804
Sens;89;Bourgogne-Franche-Comté;26688
Belfort;90;Bourgogne-Franche-Comté;49926
Athis-Mons;91;Île-de-France;34065
Brétigny-sur-Orge;91;Île-de-France;26702
Brunoy;91;Île-de-France;26520
Corbeil-Essonnes;91;Île-de-France;51682
Draveil;91;Île-de-France;29558
Évry;91;Île-de-France;55425
Grigny;91;Île-de-France;29118
Massy;91;Île-de-France;50549
Palaiseau;91;Île-de-France;34954
Ris-Orangis;91;Île-de-France;29040
Sainte-Geneviève-des-Bois;91;Île-de-France;36219
Savigny-sur-Orge;91;Île-de-France;36677
Les Ulis;91;Île-de-France;25031
Vigneux-sur-Seine;91;Île-de-France;31488
Viry-Châtillon;91;Île-de-France;30962
Yerres;91;Île-de-France;29132
Antony;92;Île-de-France;62989
Asnières-sur-Seine;92;Île-de-France;86678
Bagneux;92;Île-de-France;39977
Bois-Colombes;92;Île-de-France;28607
Boulogne-Billancourt;92;Île-de-France;120943
Châtenay-Malabry;92;Île-de-France;33413
Châtillon;92;Île-de-France;37132
Clamart;92;Île-de-France;53099
Clichy;92;Île-de-France;60746
Colombes;92;Île-de-France;86050
Courbevoie;92;Île-de-France;82351
La Garenne-Colombes;92;Île-de-France;29503
Gennevilliers;92;Île-de-France;46939
Issy-les-Moulineaux;92;Île-de-France;69231
Levallois-Perret;92;Île-de-France;64028
Malakoff;92;Île-de-France;30286
Meudon;92;Île-de-France;46014
Montrouge;92;Île-de-France;49372
Nanterre;92;Île-de-France;96321
Neuilly-sur-Seine;92;Île-de-France;61501
Le Plessis-Robinson;92;Île-de-France;29192
Puteaux;92;Île-de-France;44941
Rueil-Malmaison;92;Île-de-France;79783
Saint-Cloud;92;Île-de-France;30797
Suresnes;92;Île-de-France;49145
Vanves;92;Île-de-France;28148
Aubervilliers;93;Île-de-France;86533
Aulnay-sous-Bois;93;Île-de-France;85214
Bagnolet;93;Île-de-France;36047
Le Blanc-Mesnil;93;Île-de-France;56346
Bobigny;93;Île-de-France;52633
Bondy;93;Île-de-France;53416
Clichy-sous-Bois;93;Île-de-France;29978
La Courneuve;93;Île-de-France;42712
Drancy;93;Île-de-France;70883
Épinay-sur-Seine;93;Île-de-France;55754
Gagny;93;Île-de-France;39391
Livry-Gargan;93;Île-de-France;44721
Montfermeil;93;Île-de-France;26262
Montreuil;93;Île-de-France;109235
Neuilly-sur-Marne;93;Île-de-France;34859
Noisy-le-Grand;93;Île-de-France;67086
Noisy-le-Sec;93;Île-de-France;43693
Pantin;93;Île-de-France;55585
Pierrefitte-sur-Seine;93;Île-de-France;29728
Romainville;93;Île-de-France;26640
Rosny-sous-Bois;93;Île-de-France;45663
Saint-Denis;93;Île-de-France;112309
Saint-Ouen;93;Île-de-France;49949
Sevran;93;Île-de-France;50888
Stains;93;Île-de-France;39776
Tremblay-en-France;93;Île-de-France;35866
Villemomble;93;Île-de-France;30227
Villepinte;93;Île-de-France;36809
Alfortville;94;Île-de-France;44136
Cachan;94;Île-de-France;30524
Champigny-sur-Marne;94;Île-de-France;77883
Charenton-le-Pont;94;Île-de-France;30793
Choisy-le-Roi;94;Île-de-France;44781
Créteil;94;Île-de-France;90052
Fontenay-sous-Bois;94;Île-de-France;53968
Fresnes;94;Île-de-France;27556
L' Haÿ-les-Roses;94;Île-de-France;31416
Ivry-sur-Seine;94;Île-de-France;61099
Le Kremlin-Bicêtre;94;Île-de-France;25422
Limeil-Brévannes;94;Île-de-France;26901
Maisons-Alfort;94;Île-de-France;55816
Nogent-sur-Marne;94;Île-de-France;32195
Le Perreux-sur-Marne;94;Île-de-France;34017
Saint-Maur-des-Fossés;94;Île-de-France;75833
Sucy-en-Brie;94;Île-de-France;26575
Thiais;94;Île-de-France;29295
Villejuif;94;Île-de-France;55805
Villeneuve-Saint-Georges;94;Île-de-France;33135
Villiers-sur-Marne;94;Île-de-France;29407
Vincennes;94;Île-de-France;50300
Vitry-sur-Seine;94;Île-de-France;93317
Argenteuil;95;Île-de-France;112064
Bezons;95;Île-de-France;29216
Cergy;95;Île-de-France;64451
Eaubonne;95;Île-de-France;25514
Ermont;95;Île-de-France;29400
Franconville;95;Île-de-France;36349
Garges-lès-Gonesse;95;Île-de-France;42821
Gonesse;95;Île-de-France;26556
Goussainville;95;Île-de-France;31167
Herblay;95;Île-de-France;29614
Pontoise;95;Île-de-France;31880
Sannois;95;Île-de-France;27118
Sarcelles;95;Île-de-France;58332
Taverny;95;Île-de-France;26541
Villiers-le-Bel;95;Île-de-France;27519
Les Abymes;971;Guadeloupe;54818
Baie-Mahault;971;Guadeloupe;31338
Le Gosier;971;Guadeloupe;27023
Fort-de-France;972;Martinique;82030
Le Lamentin;972;Martinique;40920
Cayenne;973;Guyane;60947
Kourou;973;Guyane;26726
Matoury;973;Guyane;32768
Remire-Montjoly;973;Guyane;26170
Saint-Laurent-du-Maroni;973;Guyane;44130
Le Port;974;La Réunion;35141
La Possession;974;La Réunion;33337
Saint-André;974;La Réunion;56088
Saint-Benoît;974;La Réunion;38466
Saint-Denis;974;La Réunion;149337
Saint-Joseph;974;La Réunion;38167
Saint-Leu;974;La Réunion;34160
Saint-Louis;974;La Réunion;53832
Saint-Paul;974;La Réunion;106920
Saint-Pierre;974;La Réunion;85059
Sainte-Marie;974;La Réunion;33587
Le Tampon;974;La Réunion;78366
